DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:49:34
-2050.000 mm;0.000 mm;90.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	3.539	31.3	3.177	-0.298
2	4.383	11.7	3.152	-0.306
3	10.880	17.1	3.438	-0.212
4	12.602	13.1	3.577	-0.029
5	14.509	14.5	3.546	-0.280
6	16.013	20.8	3.494	-0.338
7	16.325	7.7	3.491	-0.270
8	18.187	8.2	3.345	-0.070
9	26.046	19.9	3.147	-0.325
10	31.559	20.8	3.171	-0.319
11	41.827	17.1	3.253	-0.187
12	42.170	9.4	3.279	-0.192
13	43.008	15.9	3.283	-0.125
14	43.668	11.4	3.240	-0.050
15	46.747	22.2	3.144	0.203
16	49.650	16.5	3.027	0.089
17	53.003	14.5	2.963	0.281
18	54.067	15.6	3.000	-0.126
19	54.120	19.6	2.994	-0.155
20	59.681	13.4	3.029	-0.189
21	63.089	16.8	3.144	0.041
22	65.797	16.8	3.333	-0.470
23	66.498	15.6	3.332	-0.368
24	67.039	12.2	3.376	-0.483
25	69.817	16.2	3.485	-0.094
26	70.087	12.8	3.450	-0.105
27	71.282	12.8	3.537	-0.114
28	75.697	15.4	3.452	-0.171
29	80.263	14.2	3.516	-0.199
30	82.812	14.8	3.401	-0.279
31	86.500	15.1	3.322	-0.045
32	109.188	17.1	3.162	-0.288
33	112.400	4.0	3.094	-0.382
34	113.771	13.7	3.269	-0.518
35	124.671	19.6	3.117	0.039
36	125.440	9.1	3.040	-0.147
37	130.800	13.7	3.352	-0.076
38	132.615	21.6	3.282	0.144
39	133.790	17.1	3.363	0.167
40	136.849	15.4	3.254	0.138
41	137.205	8.5	3.200	-0.021
42	137.482	16.5	3.253	-0.140
43	138.722	14.5	3.317	-0.045
44	148.460	10.2	3.304	-0.036
45	149.823	14.8	3.259	0.001
46	154.174	10.5	3.144	0.021
47	158.526	18.8	3.135	0.236
48	161.112	8.0	2.988	0.019
49	161.292	18.8	3.146	-0.010
50	162.776	16.2	3.277	0.173
51	165.328	19.3	3.067	0.256
52	166.491	17.1	3.189	0.226
53	169.419	13.7	3.205	0.135
54	172.617	15.1	3.177	0.095
55	174.340	22.5	3.040	0.326
56	174.521	17.4	3.007	0.266
57	176.884	19.3	2.929	0.160
58	177.984	19.6	2.682	0.096
59	183.422	11.4	3.240	0.152
60	185.574	16.2	3.590	-0.436
61	186.519	16.2	3.741	-0.373
62	192.035	15.9	3.471	-0.230
63	193.765	21.9	3.665	-0.253
64	195.225	21.0	4.002	-0.182
65	195.875	11.4	4.128	-0.236
66	198.800	8.0	4.264	-0.347
67	200.990	16.8	4.240	-0.578
68	201.016	13.7	4.272	-0.593
69	201.626	11.7	4.126	-0.706
70	204.065	9.7	3.992	-0.414
71	207.306	10.2	3.987	-0.524
72	210.123	10.5	4.081	-0.519
73	210.285	11.4	4.018	-0.420
74	211.282	8.8	3.797	-0.420
75	211.835	15.1	3.988	-0.544
76	213.391	16.2	3.995	-0.460
77	214.249	6.5	4.062	-0.504
78	216.318	8.8	3.908	-0.178
79	220.519	14.5	4.280	-0.383
80	221.155	6.0	4.206	0.063
81	221.777	14.5	4.168	0.009
82	223.707	12.2	4.390	0.147
83	224.187	16.2	4.037	0.179
84	224.594	13.9	4.081	0.104
85	225.032	17.9	3.971	0.059
86	225.508	16.2	4.118	-0.044
87	228.610	9.7	3.548	-0.029
88	229.591	18.2	3.509	0.603
89	230.754	10.2	3.418	0.062
90	234.799	16.5	3.492	0.037
91	239.073	8.0	3.701	-0.157
92	239.684	9.4	3.532	-0.265
93	240.235	11.1	3.459	-0.247
94	245.870	13.4	3.872	-0.050
95	252.453	9.1	3.624	-0.038
96	253.570	10.0	3.782	-0.388
97	254.209	19.3	3.720	-0.247
98	258.185	12.5	3.525	-0.521
99	260.418	11.1	3.459	-0.138
100	260.586	13.1	3.550	-0.073
101	263.632	14.2	3.825	-0.319
102	264.614	20.8	3.804	-0.242
103	266.770	13.9	3.631	-0.222
104	268.624	10.0	3.702	-0.092
105	271.098	22.2	3.450	-0.011
106	275.434	15.9	3.747	-0.228
107	275.980	9.7	3.794	-0.199
108	279.330	5.1	3.823	-0.181
109	284.603	22.8	3.360	-0.285
110	290.907	16.5	3.455	0.030
111	296.909	21.9	3.435	-0.078
112	306.510	4.0	3.734	-0.371
113	306.636	11.1	3.505	-0.406
114	306.911	14.8	3.639	-0.302
115	307.976	17.9	3.535	-0.376
116	309.743	15.4	3.854	-0.196
117	313.140	14.8	3.472	0.361
118	313.526	6.0	3.458	0.403
119	314.497	12.2	3.258	0.311
120	317.698	19.6	3.190	0.082
121	318.468	12.5	3.356	-0.160
122	322.070	15.1	3.652	-0.163
123	322.792	12.5	3.607	-0.393
124	323.336	10.5	3.462	-0.441
125	326.401	13.1	3.227	-0.094
126	327.323	10.0	3.213	0.179
127	327.879	20.8	3.322	0.274
128	334.034	17.9	3.690	-0.452
129	335.065	17.1	3.312	-0.205
130	337.737	20.8	3.340	-0.045
131	343.518	6.5	4.309	-0.449
132	344.927	12.5	4.065	-0.059
133	345.272	15.1	4.163	0.201
134	346.775	9.7	4.426	-0.244
135	348.062	12.8	4.406	-0.178
136	353.212	11.9	4.237	0.064
137	354.147	10.0	4.739	0.026
138	354.419	10.5	4.750	0.010
139	358.923	13.7	4.510	-0.037
140	360.436	8.5	4.419	-0.079
141	363.374	11.9	4.266	0.184
142	363.884	10.2	4.241	0.083
143	364.104	9.1	4.183	0.104
144	364.635	16.2	4.111	0.107
145	364.883	8.0	4.207	0.102
146	371.682	10.0	4.509	0.119
147	372.181	11.7	4.281	-0.004
148	373.385	16.8	4.108	0.455
149	375.562	9.1	3.659	0.247
150	375.639	11.4	3.682	0.105
151	376.775	10.8	3.304	0.215
152	378.021	12.8	3.656	0.716
153	379.397	14.8	3.656	0.899
154	381.622	11.9	3.910	0.385
155	381.919	13.4	3.985	0.215
156	384.273	5.1	3.962	0.641
157	386.753	8.5	4.461	0.689
158	388.451	9.4	4.131	0.346
159	389.307	15.1	4.032	0.301
160	394.339	10.8	3.560	0.071
161	394.498	16.2	3.554	0.059
162	396.121	6.3	3.577	-0.110
163	397.693	7.7	3.487	0.100
164	412.248	15.9	3.121	-0.314
165	416.467	16.5	3.237	-0.463
166	417.544	17.6	3.214	-0.523
167	418.291	14.8	3.149	-0.334
168	419.583	15.4	3.199	-0.340
169	420.708	16.2	3.235	-0.272
170	421.093	11.4	3.254	-0.247
171	423.852	19.9	3.347	-0.619
172	424.279	15.9	3.371	-0.742
173	425.041	15.4	3.303	-0.581
174	425.277	16.8	3.285	-0.647
175	425.572	15.9	3.250	-0.584
176	427.852	13.1	3.292	-0.195
177	432.299	16.8	3.536	-0.102
178	433.481	20.8	3.377	-0.240
179	434.939	13.9	3.128	-0.325
180	440.358	15.4	3.482	-0.200
181	440.983	8.0	3.650	-0.181
182	441.227	8.0	3.749	-0.273
183	441.399	13.7	3.743	-0.344
184	443.314	15.1	3.692	-0.376
185	444.224	10.0	3.675	-0.410
186	444.582	11.7	3.680	-0.494
187	444.744	17.6	3.573	-0.416
188	446.618	13.7	3.496	-0.483
189	447.623	14.5	3.611	-0.486
190	452.244	12.8	3.884	-0.592
191	456.063	13.1	3.698	-0.526
192	456.315	9.7	3.675	-0.495
193	459.648	8.8	3.306	-0.751
194	463.911	5.7	3.846	-0.513
195	467.464	12.5	4.275	-0.375
196	470.067	13.7	4.375	-0.518
197	472.524	10.2	4.174	-0.220
198	474.894	11.9	3.879	-0.325
199	475.231	13.4	3.975	-0.271
200	480.243	14.5	3.692	-0.457
201	481.256	27.6	3.848	-0.497
202	482.176	15.9	3.769	-0.552
203	485.695	11.4	3.749	-0.495
204	486.814	14.5	3.726	-0.598
205	487.433	13.4	3.713	-0.638
206	487.575	13.1	3.622	-0.458
207	487.949	9.1	3.658	-0.548
208	488.391	10.0	3.754	-0.558
209	489.682	15.1	3.616	-0.636
210	491.059	15.6	4.042	-0.877
211	495.595	13.1	3.734	-0.343
212	495.617	16.2	3.743	-0.369
213	498.880	11.7	3.801	-0.440
214	505.115	9.1	3.964	-0.585
215	507.108	6.8	3.943	-0.681
216	507.123	9.1	3.926	-0.691
217	507.992	11.9	3.979	-0.738
218	508.168	9.4	3.972	-0.758
219	509.650	12.2	4.176	-0.495
220	510.876	4.0	4.038	-0.354
221	513.363	9.4	3.891	-0.617
222	515.053	21.0	3.600	-0.691
223	515.179	8.2	3.546	-0.769
224	515.411	13.9	3.675	-0.662
225	515.757	8.8	3.869	-0.540
226	518.479	11.9	4.022	-0.135
227	520.703	14.8	4.198	-0.028
228	523.021	7.7	4.156	0.023
229	523.088	11.4	4.110	-0.031
230	523.615	8.0	4.102	0.045
231	523.980	12.5	4.103	0.086
232	526.397	10.2	4.166	0.112
233	527.568	14.8	3.990	-0.186
234	528.888	14.5	3.865	-0.270
235	529.044	13.9	3.850	-0.258
236	529.554	17.4	3.683	-0.090
237	530.184	15.9	3.795	0.139
238	533.841	13.4	3.629	-0.422
239	534.750	8.8	3.882	0.115
240	537.705	3.7	4.751	0.214
241	539.509	9.1	4.351	0.140
242	541.432	12.8	3.974	0.413
243	542.118	13.1	4.035	0.693
244	542.244	16.2	3.938	0.561
245	547.469	12.5	3.580	0.108
246	551.665	15.4	3.683	-0.296
247	555.306	14.8	3.633	-0.081
248	556.053	14.5	3.737	-0.001
249	557.291	10.2	3.643	-0.342
250	561.886	13.4	3.669	-0.477
251	563.899	22.8	3.697	-0.181
252	564.369	10.2	3.914	-0.482
253	564.617	14.2	3.940	-0.668
254	565.381	12.5	3.893	-0.637
255	568.321	11.1	3.581	-0.476
256	568.399	13.4	3.566	-0.478
257	570.653	15.9	3.488	-0.217
258	570.740	16.8	3.536	-0.182
259	571.058	21.6	3.484	-0.164
260	577.209	11.4	3.381	0.136
261	578.968	9.1	3.349	-0.386
262	583.465	22.2	3.312	0.129
263	587.224	22.8	3.033	-0.023
264	587.724	11.7	3.142	0.104
265	594.631	13.9	3.142	0.183
266	594.827	10.8	3.173	0.185
267	595.944	14.2	3.206	0.425
268	596.465	13.1	3.189	0.644
269	600.011	13.1	3.772	0.397
270	601.592	18.2	3.823	0.498
271	601.829	10.0	3.593	0.503
272	612.605	24.5	3.272	-0.342
273	613.462	17.6	3.277	-0.398
274	614.481	16.8	3.525	-0.314
275	615.374	19.9	3.488	-0.425
276	616.955	13.1	3.624	-0.511
277	617.430	18.5	3.688	-0.452
278	623.840	13.4	3.856	-0.237
279	629.526	14.2	3.959	-0.330
280	635.449	10.2	3.931	-0.293
281	638.570	15.6	3.828	-0.444
282	640.039	13.1	3.907	-0.526
283	640.695	6.8	3.854	-0.587
284	643.728	12.8	3.598	-0.396
