DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
12:20:24
-2050.000 mm;0.000 mm;230.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	4.460	14.2	3.892	-0.634
2	5.841	21.3	3.859	-0.881
3	16.918	15.6	3.708	-0.514
4	30.307	14.5	4.098	-0.193
5	42.901	19.6	3.910	-0.168
6	43.891	12.5	3.965	-0.261
7	43.910	8.0	3.943	-0.306
8	50.712	16.2	4.024	-0.442
9	55.112	17.9	4.115	-0.432
10	55.302	12.8	4.127	-0.525
11	55.333	13.1	4.123	-0.514
12	56.383	12.2	4.120	-0.493
13	58.544	17.9	4.010	-0.604
14	60.954	10.2	3.999	-0.528
15	62.625	11.4	4.057	-0.521
16	63.729	8.5	4.124	-0.541
17	65.674	8.8	4.042	-0.512
18	70.597	6.8	4.411	-0.831
19	70.878	16.2	4.414	-0.873
20	71.793	12.5	4.414	-0.795
21	72.922	9.7	4.486	-0.835
22	76.189	11.1	4.458	-0.807
23	85.661	11.9	4.661	-0.606
24	91.698	10.8	4.720	-0.604
25	98.503	9.7	4.348	-0.257
26	107.234	6.3	4.285	-0.385
27	121.895	13.1	3.889	-0.368
28	122.435	10.5	3.962	-0.450
29	129.662	9.1	3.830	0.000
30	136.684	11.7	4.075	-0.216
31	140.029	13.9	4.026	-0.113
32	151.108	10.8	3.846	-0.302
33	166.428	7.7	3.810	-0.029
34	167.166	11.9	3.698	-0.251
35	170.776	17.1	3.650	-0.381
36	174.887	12.2	3.848	0.060
37	176.511	8.8	3.907	-0.076
38	185.488	9.1	3.922	-0.156
39	190.277	20.5	3.857	-0.302
40	198.438	13.7	3.958	-0.304
41	199.857	11.7	4.011	-0.312
42	202.151	7.1	3.991	-0.385
43	215.854	15.4	4.164	-0.102
44	216.812	13.1	4.135	-0.091
45	224.600	15.1	4.118	-0.242
46	228.201	12.8	4.210	-0.086
47	237.048	9.1	4.285	-0.221
48	247.246	11.4	3.915	-0.064
49	251.739	7.4	3.768	-0.128
50	267.467	11.1	4.239	0.004
51	267.559	9.4	4.287	0.065
