DXEX v3
C:\WTUSER\My Flow Projects\Project\UBA_BL_Rep2025_UW_01.lda
11:34:12
-2050.000 mm;0.000 mm;45.000 mm
vertical prof
"Row#"	"AT [ms]"	"TT [us]"	"U [m/s]"	"W [m/s]"	
1	9.546	17.9	2.528	-0.078
2	12.850	26.2	2.337	-0.053
3	15.521	3.1	2.223	-0.039
4	17.876	23.0	2.058	0.037
5	19.164	30.2	2.044	0.196
6	20.044	18.5	2.051	0.258
7	27.834	31.6	2.005	0.115
8	34.004	30.2	1.822	0.126
9	41.932	10.2	2.014	0.177
10	44.267	20.5	2.292	-0.093
11	63.104	15.6	2.357	0.172
12	65.981	15.1	2.299	0.118
13	70.235	22.5	2.195	0.230
14	78.547	23.0	2.123	-0.031
15	96.177	21.0	2.693	0.107
16	99.842	23.9	2.524	0.275
17	104.131	15.4	2.171	0.528
18	104.757	25.0	2.116	0.429
19	116.113	19.9	2.273	0.105
20	118.732	16.5	2.249	0.384
21	119.853	19.6	2.161	0.257
22	125.669	26.2	2.128	0.631
23	136.821	20.5	2.433	-0.122
24	137.498	20.2	2.408	-0.039
25	140.987	16.5	2.223	0.081
26	142.331	25.6	2.074	0.086
27	147.780	16.5	2.138	-0.424
28	151.498	21.3	2.854	0.026
29	155.714	19.9	2.887	-0.513
30	156.769	15.4	2.968	-0.483
31	166.851	24.7	2.410	-0.429
32	177.404	15.4	2.325	-0.387
33	177.556	17.6	2.315	-0.380
34	217.578	18.8	2.574	-0.349
35	219.115	17.9	2.365	-0.035
36	220.550	4.0	2.262	-0.129
37	225.726	19.1	2.526	-0.236
38	227.969	25.6	2.452	-0.095
39	230.469	24.7	2.212	-0.088
40	234.334	18.8	2.392	0.138
41	255.220	25.6	2.183	0.067
42	258.877	8.0	2.216	0.061
43	263.177	25.0	2.180	-0.119
44	265.741	20.2	2.107	-0.271
45	268.570	23.9	2.434	-0.476
46	274.133	5.7	1.900	0.007
47	291.297	17.6	2.293	0.525
48	291.569	22.5	2.286	0.593
49	300.454	21.0	2.596	0.522
50	302.866	15.6	3.018	0.048
51	309.875	31.9	2.567	0.473
52	320.315	17.6	3.258	-0.278
53	321.989	6.8	3.256	-0.113
54	325.580	10.8	3.223	0.072
55	327.717	12.2	3.131	-0.183
56	338.103	21.6	3.153	0.291
57	339.738	14.8	3.055	0.503
58	343.112	18.5	3.346	0.132
59	361.673	13.4	3.165	-0.429
60	364.043	15.9	3.032	-0.289
61	373.406	12.5	3.646	-0.516
62	374.748	12.2	3.193	-0.559
63	375.011	13.4	3.232	-0.589
64	377.041	19.9	2.887	-0.335
65	378.937	19.3	2.816	-0.218
66	385.711	14.8	2.594	-0.045
67	386.374	18.5	2.608	-0.103
68	388.661	24.2	2.677	0.060
69	391.078	16.5	2.683	0.429
70	394.111	13.4	2.897	-0.189
71	400.840	16.5	3.431	-0.534
72	402.489	12.5	3.399	-0.235
73	408.286	19.3	3.183	-0.186
74	412.605	21.6	2.616	-0.346
75	412.917	22.5	2.598	-0.360
76	416.612	18.8	2.749	-0.236
77	424.680	20.5	3.080	-0.691
78	442.074	14.2	2.493	-0.425
79	447.406	22.2	2.709	-0.301
80	473.732	22.8	2.582	0.358
81	474.839	19.3	2.568	0.167
82	481.486	21.3	2.337	0.297
83	489.036	19.9	1.844	0.552
84	493.479	12.8	2.400	0.143
85	498.178	27.0	2.455	0.065
86	499.901	16.8	2.869	-0.100
87	499.932	17.1	2.899	0.094
88	516.745	22.8	2.502	0.277
89	532.287	14.2	2.592	0.828
90	544.970	34.4	1.392	0.898
91	546.090	23.6	1.426	0.811
92	549.697	35.3	1.678	0.012
93	559.173	23.3	1.848	0.078
94	562.392	22.5	1.727	0.067
95	583.467	40.7	1.418	0.467
96	584.363	19.9	1.473	0.446
97	591.778	34.1	1.503	0.327
98	602.612	16.2	2.105	-0.009
99	602.965	18.2	2.084	-0.165
100	613.252	22.8	1.955	-0.495
101	633.484	23.0	2.067	0.398
102	635.042	27.0	1.939	0.235
103	636.656	21.6	1.972	0.324
104	642.747	29.6	1.714	0.651
105	645.566	21.3	1.438	0.485
106	677.635	44.1	1.066	0.310
107	680.074	48.1	1.066	0.384
108	688.689	39.0	0.973	0.244
109	691.717	60.0	0.890	0.126
110	696.413	39.3	1.177	0.411
111	701.037	4.3	1.299	0.232
112	718.131	31.9	1.270	0.035
113	730.998	30.4	1.224	-0.020
114	746.692	25.6	1.614	-0.331
115	747.645	18.8	2.015	-0.247
116	750.919	29.3	1.681	0.348
117	762.678	28.4	1.973	0.083
118	763.835	21.9	1.943	-0.068
119	785.688	23.3	1.701	0.122
120	790.402	19.9	1.867	0.175
121	793.088	41.0	1.922	0.053
122	796.870	21.0	2.012	-0.128
123	797.399	26.5	1.980	-0.016
124	800.567	15.6	1.918	0.554
125	800.797	21.3	1.837	0.535
126	804.455	33.8	1.877	0.067
127	808.656	17.6	2.186	0.139
128	814.528	22.2	2.180	-0.123
129	817.449	10.8	2.173	0.171
130	846.801	18.2	2.618	-0.373
